,Lugar de residencia,Cód. distrito,Cód. municipio,Población,Confirmados PDIA,Confirmados PDIA 14 días,Tasa PDIA 14 días,Confirmados PDIA 7 días,Total Confirmados,Curados,Fallecidos
0,Granada,,,919.168,67.347,2.768,"301,1",975,68.180,48.624,1.424
1,Granada Sur,03023,,148.993,5.388,299,"200,7",120,5.416,3.525,79
2,Albondón,,18004,712,14,0,"0,0",0,14,6,0
3,Albuñol,,18006,7.353,287,11,"149,6",4,287,167,1
4,Almegíjar,,18016,337,6,0,"0,0",0,6,6,0
5,Almuñécar,,18017,25.927,826,37,"142,7",9,829,537,10
6,Alpujarra de la Sierra,,18904,969,17,1,"103,2",0,18,11,2
7,Bérchules,,18030,712,5,0,"0,0",0,5,1,0
8,Bubión,,18032,298,18,0,"0,0",0,18,7,1
9,Busquístar,,18033,279,52,7,"2.509,0",0,52,24,2
10,Cádiar,,18035,1.465,21,2,"136,5",1,21,12,0
11,Cáñar,,18040,377,9,0,"0,0",0,9,8,0
12,Capileira,,18042,563,31,0,"0,0",0,31,26,0
13,Carataunas,,18043,201,0,0,"0,0",0,0,0,0
14,Cástaras,,18044,235,0,0,"0,0",0,0,0,0
15,Guájares (Los),,18906,1.053,21,1,"95,0",0,22,21,0
16,Gualchos,,18093,5.190,122,14,"269,7",5,124,71,4
17,Ítrabo,,18103,991,22,0,"0,0",0,22,19,0
18,Jete,,18109,927,3,0,"0,0",0,3,3,0
19,Juviles,,18112,135,1,0,"0,0",0,1,1,0
20,Lanjarón,,18116,3.530,112,5,"141,6",1,112,88,3
21,Lentegí,,18120,333,1,0,"0,0",0,1,1,0
22,Lobras,,18121,133,0,0,"0,0",0,0,0,0
23,Lújar,,18124,483,8,0,"0,0",0,8,7,0
24,Molvízar,,18133,2.772,63,6,"216,5",1,64,35,1
25,Motril,,18140,58.460,2.433,149,"254,9",68,2.447,1.605,29
26,Murtas,,18141,455,16,1,"219,8",1,17,12,2
27,Nevada,,18903,1.072,61,1,"93,3",0,61,46,6
28,Órgiva,,18147,5.784,240,1,"17,3",0,240,219,3
29,Otívar,,18148,1.011,26,0,"0,0",0,26,16,1
30,Pampaneira,,18151,317,5,0,"0,0",0,5,1,2
31,Polopos,,18162,1.722,45,0,"0,0",0,47,27,2
32,Pórtugos,,18163,368,34,2,"543,5",0,34,29,0
33,Rubite,,18170,382,4,0,"0,0",0,4,3,0
34,Salobreña,,18173,12.513,370,32,"255,7",12,371,236,3
35,Soportújar,,18176,264,15,0,"0,0",0,15,8,0
36,Sorvilán,,18177,527,32,0,"0,0",0,32,22,0
37,Taha (La),,18901,670,70,1,"149,3",0,71,60,1
38,Torrenueva Costa,,18916,2.796,59,3,"107,3",3,59,27,1
39,Torvizcón,,18179,625,21,0,"0,0",0,21,20,0
40,Trevélez,,18180,736,48,1,"135,9",1,48,39,2
41,Turón,,18181,232,5,0,"0,0",0,5,1,0
42,Ugíjar,,18182,2.517,151,8,"317,8",8,152,43,3
43,Válor,,18183,677,18,0,"0,0",0,18,3,0
44,Vélez de Benaudalla,,18184,2.890,96,16,"553,6",6,96,57,0
45,Granada Nordeste,03029,,97.710,6.639,464,"474,9",154,6.760,4.321,131
46,Alamedilla,,18002,569,76,1,"175,7",0,77,52,1
47,Albuñán,,18005,409,30,0,"0,0",0,30,25,3
48,Aldeire,,18010,630,53,13,"2.063,5",5,53,23,2
49,Alicún de Ortega,,18015,471,27,0,"0,0",0,27,20,4
50,Alquife,,18018,580,32,2,"344,8",2,32,21,1
51,Baza,,18023,20.430,1.360,52,"254,5",14,1.404,878,20
52,Beas de Guadix,,18025,329,14,0,"0,0",0,14,10,0
53,Benalúa,,18027,3.310,259,19,"574,0",8,259,171,13
54,Benamaurel,,18029,2.260,106,11,"486,7",1,107,56,1
55,Calahorra (La),,18114,668,65,5,"748,5",2,65,54,1
56,Caniles,,18039,4.021,220,19,"472,5",2,222,153,6
57,Castilléjar,,18045,1.321,94,12,"908,4",4,95,32,0
58,Castril,,18046,2.020,110,10,"495,0",2,113,85,1
59,Cogollos de Guadix,,18049,642,31,0,"0,0",0,33,16,2
60,Cortes de Baza,,18053,1.844,47,1,"54,2",0,47,24,0
61,Cortes y Graena,,18054,982,36,1,"101,8",1,36,23,2
